Preset Timing Simulation Results
========================================
Total Waiting Time: 1155369.00s
Total Vehicles Processed: 18821
Average Waiting per Vehicle: 61.39s

Time Step Metrics:
Step | Waiting (s) | Vehicles | Departed | Arrived
   0 |      0.00 |        0 |        0 |       0
  10 |      0.00 |        7 |        0 |       0
  20 |     84.00 |       20 |        0 |       0
  30 |    459.00 |       46 |        1 |       0
  40 |   1206.00 |       89 |        0 |       1
  50 |   2760.00 |      146 |        1 |       0
  60 |   5514.00 |      231 |        0 |       0
  70 |   9468.00 |      321 |        1 |       0
  80 |  14958.00 |      431 |        0 |       0
  90 |  22413.00 |      581 |        1 |       0
 100 |  26592.00 |      755 |        1 |       1
 110 |  33003.00 |      962 |        1 |       0
 120 |  43242.00 |     1201 |        1 |       0
 130 |  56439.00 |     1487 |        1 |       0
 140 |  76563.00 |     1845 |        0 |       0
 150 | 104820.00 |     2246 |        0 |       0
 160 | 123621.00 |     2600 |        1 |       0
 170 | 144033.00 |     2892 |        0 |       1
 180 | 170739.00 |     3184 |        0 |       0
 190 | 185850.00 |     3478 |        0 |       0
 200 | 202650.00 |     3777 |        0 |       0
 210 | 225501.00 |     4087 |        1 |       0
 220 | 241479.00 |     4384 |        0 |       0
 230 | 260553.00 |     4709 |        0 |       0
 240 | 286464.00 |     5095 |        0 |       1
 250 | 305115.00 |     5488 |        1 |       0
 260 | 325911.00 |     5885 |        0 |       0
 270 | 354519.00 |     6283 |        0 |       1
 280 | 369810.00 |     6642 |        1 |       0
 290 | 387852.00 |     6952 |        1 |       0
 300 | 413157.00 |     7291 |        0 |       1
 310 | 428487.00 |     7591 |        0 |       0
 320 | 444135.00 |     7833 |        1 |       0
 330 | 465570.00 |     8109 |        0 |       0
 340 | 482037.00 |     8454 |        0 |       0
 350 | 499854.00 |     8847 |        1 |       1
 360 | 525081.00 |     9255 |        1 |       0
 370 | 541842.00 |     9662 |        0 |       0
 380 | 553716.00 |    10070 |        0 |       0
 390 | 572361.00 |    10473 |        0 |       0
 400 | 587403.00 |    10826 |        1 |       0
 410 | 607980.00 |    11152 |        0 |       0
 420 | 637056.00 |    11542 |        0 |       1
 430 | 657570.00 |    11915 |        0 |       1
 440 | 673608.00 |    12224 |        0 |       0
 450 | 693978.00 |    12543 |        0 |       0
 460 | 707604.00 |    12844 |        0 |       0
 470 | 724686.00 |    13167 |        0 |       0
 480 | 749277.00 |    13590 |        1 |       2
 490 | 766458.00 |    14005 |        1 |       1
 500 | 787566.00 |    14381 |        0 |       1
 510 | 817329.00 |    14765 |        0 |       0
 520 | 842511.00 |    15094 |        0 |       1
 530 | 873642.00 |    15391 |        0 |       0
 540 | 912858.00 |    15718 |        0 |       0
 550 | 937806.00 |    16027 |        0 |       0
 560 | 950016.00 |    16311 |        0 |       1
 570 | 964272.00 |    16577 |        0 |       0
 580 | 974829.00 |    16826 |        0 |       0
 590 | 990561.00 |    17089 |        0 |       1
 600 | 1013064.00 |    17374 |        0 |       0
 610 | 1031097.00 |    17636 |        0 |       0
 620 | 1047207.00 |    17832 |        0 |       1
 630 | 1067601.00 |    18011 |        0 |       0
 640 | 1080990.00 |    18139 |        0 |       1
 650 | 1096140.00 |    18249 |        0 |       0
 660 | 1114374.00 |    18375 |        0 |       0
 670 | 1119969.00 |    18468 |        0 |       0
 680 | 1123614.00 |    18530 |        0 |       0
 690 | 1128759.00 |    18591 |        0 |       0
 700 | 1135404.00 |    18671 |        0 |       0
 710 | 1143594.00 |    18734 |        0 |       0
 720 | 1153554.00 |    18794 |        0 |       0
 730 | 1155369.00 |    18821 |        0 |       0
 740 | 1155369.00 |    18821 |        0 |       0
 750 | 1155369.00 |    18821 |        0 |       0
 760 | 1155369.00 |    18821 |        0 |       0
 770 | 1155369.00 |    18821 |        0 |       0
 780 | 1155369.00 |    18821 |        0 |       0
 790 | 1155369.00 |    18821 |        0 |       0
 800 | 1155369.00 |    18821 |        0 |       0
 810 | 1155369.00 |    18821 |        0 |       0
 820 | 1155369.00 |    18821 |        0 |       0
 830 | 1155369.00 |    18821 |        0 |       0
 840 | 1155369.00 |    18821 |        0 |       0
 850 | 1155369.00 |    18821 |        0 |       0
 860 | 1155369.00 |    18821 |        0 |       0
 870 | 1155369.00 |    18821 |        0 |       0
 880 | 1155369.00 |    18821 |        0 |       0
 890 | 1155369.00 |    18821 |        0 |       0
 900 | 1155369.00 |    18821 |        0 |       0
 910 | 1155369.00 |    18821 |        0 |       0
 920 | 1155369.00 |    18821 |        0 |       0
 930 | 1155369.00 |    18821 |        0 |       0
 940 | 1155369.00 |    18821 |        0 |       0
 950 | 1155369.00 |    18821 |        0 |       0
 960 | 1155369.00 |    18821 |        0 |       0
 970 | 1155369.00 |    18821 |        0 |       0
 980 | 1155369.00 |    18821 |        0 |       0
 990 | 1155369.00 |    18821 |        0 |       0
