Preset Timing Simulation Results
========================================
Total Waiting Time: 2205105.00s
Total Vehicles Processed: 32835
Average Waiting per Vehicle: 67.16s

Time Step Metrics:
Step | Waiting (s) | Vehicles | Departed | Arrived
   0 |      0.00 |        0 |        1 |       0
  10 |      0.00 |       13 |        0 |       0
  20 |    108.00 |       58 |        1 |       0
  30 |    876.00 |      114 |        1 |       0
  40 |   1632.00 |      216 |        2 |       0
  50 |   3666.00 |      365 |        1 |       0
  60 |   8595.00 |      593 |        1 |       0
  70 |  17124.00 |      888 |        0 |       0
  80 |  32343.00 |     1274 |        1 |       0
  90 |  57318.00 |     1747 |        1 |       0
 100 |  81303.00 |     2210 |        2 |       1
 110 | 112560.00 |     2699 |        1 |       0
 120 | 156882.00 |     3278 |        0 |       0
 130 | 188667.00 |     3845 |        1 |       1
 140 | 224313.00 |     4463 |        1 |       0
 150 | 273753.00 |     5128 |        0 |       0
 160 | 300948.00 |     5734 |        1 |       1
 170 | 324903.00 |     6341 |        0 |       0
 180 | 361233.00 |     7011 |        0 |       2
 190 | 397611.00 |     7668 |        0 |       0
 200 | 446625.00 |     8341 |        1 |       0
 210 | 512622.00 |     9081 |        0 |       1
 220 | 558948.00 |     9822 |        1 |       1
 230 | 607593.00 |    10587 |        0 |       0
 240 | 673581.00 |    11409 |        1 |       0
 250 | 721113.00 |    12220 |        0 |       0
 260 | 770658.00 |    12962 |        0 |       1
 270 | 837186.00 |    13683 |        0 |       1
 280 | 888270.00 |    14362 |        0 |       1
 290 | 940419.00 |    15138 |        1 |       3
 300 | 1010430.00 |    15986 |        2 |       1
 310 | 1060818.00 |    16840 |        1 |       0
 320 | 1102950.00 |    17650 |        1 |       0
 330 | 1163025.00 |    18487 |        1 |       0
 340 | 1213794.00 |    19316 |        1 |       2
 350 | 1274838.00 |    20099 |        0 |       0
 360 | 1354917.00 |    20947 |        1 |       0
 370 | 1412208.00 |    21760 |        1 |       0
 380 | 1467804.00 |    22537 |        1 |       0
 390 | 1541106.00 |    23338 |        0 |       1
 400 | 1599990.00 |    24134 |        1 |       0
 410 | 1661199.00 |    24989 |        2 |       0
 420 | 1742766.00 |    25896 |        1 |       1
 430 | 1802466.00 |    26791 |        1 |       1
 440 | 1849350.00 |    27646 |        1 |       0
 450 | 1912461.00 |    28503 |        0 |       2
 460 | 1960350.00 |    29325 |        0 |       1
 470 | 2010876.00 |    30159 |        1 |       0
 480 | 2081586.00 |    31073 |        1 |       0
 490 | 2141583.00 |    32001 |        1 |       0
